recipe_id,calories,protein_grams,carbs_grams,fats_grams,fiber_grams,sodium_mg,sugar_grams,source,confidence,review_status,notes,draft_status,matched_ingredient_count,unmatched_ingredients,fdc_matches
ph_4,1768,31.9,1.1,180.4,0.0,349,0.2,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,3,6 cups water (ignored seasoning/water) | 5 dried bay leaves (no FDC match for dried bay leaves) | 4 cups cooking oil (ignored frying oil reserve),"3 lbs. pork belly => pork belly [1360.8g, FDC local:pork belly] | 8 grams Maggi Magic Sarap => maggi seasoning mix [8.0g, FDC local:seasoning mix] | 1 tablespoon whole peppercorn => peppercorn [8.0g, FDC local:corn]"
ph_10,1195,22.8,2.7,120.4,0.3,1035,0.3,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,5,5 dried bay leaves (no FDC match for dried bay leaves) | 2 cups water (ignored seasoning/water) | Salt to taste (ignored seasoning/water),"2 lbs pork belly => pork belly [907.2g, FDC local:pork belly] | 2 tablespoons garlic => garlic [16.0g, FDC local:garlic] | 4 tablespoons vinegar => vinegar [60.0g, FDC local:vinegar] | 1/2 cup soy sauce => soy sauce [70.0g, FDC local:soy sauce] | 1 tablespoon peppercorn => peppercorn [8.0g, FDC local:corn]"
ph_13,640,61.9,16.0,34.9,2.6,192,4.9,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,7,34 ounces water (no FDC match for water) | fish sauce to taste optional (ignored seasoning/water),"2 lbs beef shank => beef shank [907.2g, FDC local:beef] | 1/2 cabbage whole leaf individually detached => cabbage leaf individually detached [50.0g, FDC local:cabbage] | 1 bundle bok choy => bok choy [150.0g, FDC local:bok choy] | 2 cobs corn each cut into 3 parts => corn each [180.0g, FDC local:corn] | 2 Tablespoons whole peppercorn => peppercorn [16.0g, FDC local:corn] | 1/2 cup green onions cut unto 1 1/2 inch pieces => onions cut unto inch [70.0g, FDC local:onion] | 1 onion => onion [110.0g, FDC local:onion]"
ph_15,479,41.0,8.8,29.6,1.5,434,2.0,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,7,1 cup water (ignored seasoning/water) | 1 slice lemon with rind (no FDC match for slice lemon with rind) | 1/2 tsp. ground black pepper (no FDC match for pepper) | 2 pieces bay leaves laurel (no FDC match for bay leaves laurel) | salt to taste (ignored seasoning/water),"3 cloves garlic crushed => garlic [9.0g, FDC local:garlic] | 1 piece large onion sliced => onion [110.0g, FDC local:onion] | 2 lbs beef chuck cubed => beef chuck [907.2g, FDC local:beef] | 8 ounces tomato sauce => tomato sauce [226.8g, FDC local:tomato] | 3 tbsp cooking oil => cooking oil [40.8g, FDC local:cooking oil] | 1 piece large potato sliced => potato [170.0g, FDC local:potato] | 1/4 cup soy sauce => soy sauce [35.0g, FDC local:soy sauce]"
ph_17,229,3.8,3.2,22.9,1.5,36,1.9,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,3,1 teaspoon salt (ignored seasoning/water),"4 pieces Chinese eggplant => chinese eggplant [200.0g, FDC local:eggplant] | 2 pieces raw eggs => eggs [100.0g, FDC local:egg] | 6 tablespoons cooking oil => cooking oil [81.6g, FDC local:cooking oil]"
ph_23,831,66.9,40.6,43.1,5.3,4351,7.7,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,15,1 1/2 cup mung bean sprouts (no FDC match for mung bean sprouts) | 1/4 teaspoon ground black pepper (no FDC match for pepper) | 6 oz. lechon carajay chopped (no FDC match for lechon carajay) | 6 to 8 cups water (no FDC match for water) | 1 stalk celery chopped (no FDC match for stalk celery),"6 oz. minced beef or carabeef => beef or carabeef [170.1g, FDC local:beef] | 12 oz. fresh Miki noodles => miki noodles [340.2g, FDC local:noodles] | 3 to 4 oz. pork liver sliced => pork liver [99.2g, FDC local:liver] | 1 medium red onion cubed => onion [110.0g, FDC local:onion] | 3/4 cups chopped green onions => onions [105.0g, FDC local:onion] | 1 cup shredded cabbage => shredded cabbage [140.0g, FDC local:cabbage] | 1 cup carrot julienne => carrot julienne [140.0g, FDC local:carrot] | 3 tablepespoons soy sauce => tablepespoons soy sauce [300.0g, FDC local:soy sauce] | 1 egg => egg [50.0g, FDC local:egg] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil] | 1 lb. beef bones with meat => beef bones with meat [453.6g, FDC local:beef] | 1 beef cube => beef cube [100.0g, FDC local:beef] | 1 egg => egg [50.0g, FDC local:egg] | 1 medium carrot cubed => carrot [60.0g, FDC local:carrot] | 1 small onion cubed => onion [110.0g, FDC local:onion]"
ph_25,848,13.5,136.1,29.3,4.5,21,36.6,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,4,2 cups water (ignored seasoning/water) | 1 1/2 cups tapioca pearls cooked (no FDC match for tapioca pearls),"20 pieces glutinous rice balls (Bilo-bilo) => glutinous rice balls [2000.0g, FDC local:rice] | 20 oz jackfruit ripe, sliced => jackfruit [567.0g, FDC local:jackfruit] | 2 cups coconut cream => coconut cream [480.0g, FDC local:coconut cream] | 3/4 cup granulated white sugar => granulated sugar [93.8g, FDC local:sugar]"
ph_27,636,63.1,19.7,32.0,1.6,1114,16.6,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,7,2 cups water (ignored seasoning/water) | 5 pieces dried bay leaves (ignored seasoning/water) | Salt to taste (ignored seasoning/water),"2 lbs Pork hock pata, sliced crosswise => pork hock pata crosswise [907.2g, FDC local:pork] | 1 teaspoon garlic crushed => garlic [2.7g, FDC local:garlic] | 1/2 cup soy sauce => soy sauce [70.0g, FDC local:soy sauce] | 3 tablespoons vinegar => vinegar [45.0g, FDC local:vinegar] | 1/2 cup brown sugar => brown sugar [62.5g, FDC local:sugar] | 100 grams banana blossoms dried, soaked in water => banana blossoms dried soaked in water [100.0g, FDC local:banana blossom] | 1 tablespoon whole pepper corn => pepper corn [8.0g, FDC local:corn]"
ph_30,635,56.9,8.2,39.5,0.5,132,6.0,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,8,2 pieces long green pepper (no FDC match for pepper) | 1 cup water (ignored seasoning/water) | salt and pepper to taste (ignored seasoning/water),"1 lb pork cut into cubes => pork [453.6g, FDC local:pork] | 1 cup vinegar => vinegar [140.0g, FDC local:vinegar] | 1 1/2 tablespoon brown sugar => brown sugar [18.8g, FDC local:sugar] | 1 piece onion chopped finely => onion finely [110.0g, FDC local:onion] | 1 tablespoon garlic minced => garlic [8.0g, FDC local:garlic] | 3 tablespoon cooking oil => cooking oil [40.8g, FDC local:cooking oil] | 10 oz pork blood => pork blood [283.5g, FDC local:pork] | 1 piece pork cube boullion => pork cube boullion [100.0g, FDC local:pork]"
ph_32,596,63.2,6.7,33.4,0.2,1468,5.3,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,6,3 tablespoons Knorr Liquid Seasoning (no FDC match for knorr liquid seasoning) | 4 pieces calamansi or 2 pieces lime (no FDC match for calamansi or lime) | 1/2 cup banana ketchup (no FDC match for banana ketchup) | 1 tablespoon Knorr Liquid Seasoning (no FDC match for knorr liquid seasoning) | 1 piece calamansi or 1/2 lime (no FDC match for calamansi or lime) | 1/4 cup banana ketchup (no FDC match for banana ketchup),"3 lbs pork shoulder sliced into thin pieces => pork shoulder into thin [1360.8g, FDC local:pork] | 1/2 cup soy sauce => soy sauce [70.0g, FDC local:soy sauce] | 2 1/2 tablespoons brown sugar => brown sugar [31.2g, FDC local:sugar] | 2 teaspoons garlic powder => garlic powder [5.3g, FDC local:garlic] | 5 tablespoons soy sauce => soy sauce [75.0g, FDC local:soy sauce] | 2 teaspoons vegetable oil => cooking oil [9.1g, FDC local:cooking oil]"
