id,keywords,price_php,price_min_php,price_max_php,category,unit,active,source,confidence,effective,pricing_basis,zero_price,market_source,source_url,review_status,needs_manual_validation,notes
reviewed_pork_belly,pork belly,403,313,403,Meat/Seafood,kg,true,reviewed_market,high,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; pork belly/liempo local/imported range,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready for base-price import,false,"source=reviewed_market; confidence=high; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, pork belly/liempo local/imported range; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready for base-price import; needs_manual_validation=No; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, pork belly/liempo local/imported range"
reviewed_garlic,garlic,146,146,400,Produce,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,"DA exact/proxy: DA-AMAS NCR weekly average retail price; imported garlic default, local/native upper bound",https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact/proxy: DA-AMAS NCR weekly average retail price, imported garlic default, local/native upper bound; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Do not price a clove as 1 kg. Convert cloves/heads to estimated grams before multiplying by kg price.; special_case=Special case: garlic/bawang should use clove/head display but kg-based price. Add gram-per-clove/head assumption before pantry deduction.; reviewer_notes=DA-AMAS NCR weekly average retail price, imported garlic default, local/native upper bound"
reviewed_onion,onion,99,93,99,Produce,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; red onion proxy for generic onion,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, red onion proxy for generic onion; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, red onion proxy for generic onion"
reviewed_shrimp,shrimp,450,360,540,Meat/Seafood,kg,true,reviewed_market,low,2026-05-29,market_unit,false,PCOSina catalog fallback pending local validation,https://www.dti.gov.ph/konsyumer/e-presyo/,Needs local price validation before import,true,"source=reviewed_market; confidence=low; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=PCOSina catalog fallback pending local validation; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Needs local price validation before import; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=No exact DA-AMAS commodity match. Retained/calibrated from PCOSina current price rule as audit placeholder, validate against local store/public SRP before production import."
reviewed_pork,pork,348,254,403,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; general pork proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, general pork proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, general pork proxy"
reviewed_fish_sauce,fish sauce,90,70,120,Meat/Seafood,l,true,reviewed_market,medium,2026-05-29,market_unit,false,Non-DA audit estimate: Audit market estimate for fish sauce/patis; validate against chosen store/SRP list,https://www.dti.gov.ph/konsyumer/e-presyo/,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=Non-DA audit estimate: Audit market estimate for fish sauce/patis, validate against chosen store/SRP list; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=Audit market estimate for fish sauce/patis, validate against chosen store/SRP list"
reviewed_chicken,chicken,195,195,195,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; whole chicken proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, whole chicken proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, whole chicken proxy"
reviewed_red_onion,red onion,99,93,99,Produce,kg,true,reviewed_market,high,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; red onion imported/local range,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready for base-price import,false,"source=reviewed_market; confidence=high; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, red onion imported/local range; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready for base-price import; needs_manual_validation=No; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, red onion imported/local range"
reviewed_coconut_milk,coconut milk,110,85,150,Eggs & Dairy,l,true,reviewed_market,medium,2026-05-29,market_unit,false,Non-DA audit estimate: Audit estimate for coconut milk/gata; validate brand/pack size,https://www.dti.gov.ph/konsyumer/e-presyo/,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=Non-DA audit estimate: Audit estimate for coconut milk/gata, validate brand/pack size; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Eggs may be sold per piece, dozen, or tray. Convert all to piece count for recipe costing.; special_case=Special case: egg tray/dozen/piece conversion must be normalized to piece count.; reviewer_notes=Audit estimate for coconut milk/gata, validate brand/pack size"
reviewed_beef_broth,beef broth,497,445,497,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; general beef proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, general beef proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, general beef proxy"
