recipe_id,calories,protein_grams,carbs_grams,fats_grams,fiber_grams,sodium_mg,sugar_grams,source,confidence,review_status,notes
ph_1,1013,24.8,47.2,85.5,12.0,258,15.7,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Ginataang Kalabasa; source_url=https://panlasangpinoy.com/ginataang-kalabasa/; source_servings=6; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_2,435,53.0,26.0,16.0,9.0,1657,12.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang Sa Miso; source_url=https://panlasangpinoy.com/sinigang-sa-miso/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_3,656,35.6,10.8,52.0,2.8,1343,4.6,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pork Ribs Caldereta; source_url=https://panlasangpinoy.com/pork-ribs-caldereta/; source_servings=5; source_recipe_yield=5.0; source_basis=normalized_by_source_recipe_yield
ph_5,318,6.0,5.2,30.2,0.8,272,3.5,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Paksiw Na Baboy; source_url=https://panlasangpinoy.com/paksiw-na-baboy/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_6,646,45.0,6.0,48.0,1.0,1171,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Chicken Adobo Recipe; source_url=https://panlasangpinoy.com/filipino-chicken-adobo-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_7,845,20.0,156.0,14.0,4.0,170,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Laing Fried Rice Recipe; source_url=https://panlasangpinoy.com/laing-fried-rice/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_8,840,10.0,63.0,67.0,4.0,22,27.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Mais at Malagkit (Sweet Corn and Glutinous Rice Porridge); source_url=https://panlasangpinoy.com/ginataang-mais-at-malagkit/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_9,366,46.0,15.0,12.0,1.0,1422,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Tastylicious Adobong Pusit Recipe; source_url=https://panlasangpinoy.com/tastylicious-adobong-pusit-recipe/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_11,364,30.0,13.0,21.0,3.0,660,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Afritada Recipe; source_url=https://panlasangpinoy.com/pork-afritada-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_12,429,13.0,19.0,36.0,1.0,283,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Hipon Sitaw at Kalabasa; source_url=https://panlasangpinoy.com/ginataang-hipon-sitaw-at-kalabasa/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_14,405,23.0,46.0,15.0,4.0,1793,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Palabok Recipe; source_url=https://panlasangpinoy.com/pancit-palabok-recipe/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_16,92,13.0,9.0,1.0,2.0,453,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Laswa Recipe; source_url=https://panlasangpinoy.com/laswa-recipe/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_18,650,37.0,10.0,51.0,3.0,868,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Caldereta Recipe; source_url=https://panlasangpinoy.com/pork-caldereta/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_19,583,37.0,25.0,37.0,5.0,1089,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Afritada Recipe; source_url=https://panlasangpinoy.com/chicken-afritada-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
