priority,recipe_id,title,meal_type,source_servings,minutes,source_prep_time,source_cook_time,source_total_time,source_ingredient_names,ingredient_count,ingredients,instructions_excerpt,current_calories,current_protein_grams,current_carbs_grams,current_fats_grams,current_fiber_grams,calories,protein_grams,carbs_grams,fats_grams,fiber_grams,sodium_mg,sugar_grams,source,confidence,review_status,notes,draft_status,matched_ingredient_count,unmatched_ingredients,fdc_matches
P0,ph_1,Ginataang Kalabasa,Dinner,6,65,15 minutes,50 minutes,1 hour 5 minutes,kalabasa | sitaw | pork belly | coconut milk | thumbs ginger,10,3 lbs. kalabasa cubed | 18 pieces string beans cut into 2-inch pieces | 1 1/2 lbs. pork belly diced | 24 ounces coconut milk | 2 tablespoon shrimp paste | 1 onion chopped | 3 thumbs ginger julienned | 8 cloves garlic | 8 grams Maggi Magic Sarap | 1 cup water,"Heat the wok and then sear the pork until enough fat renders. Move the pork aside, and saut garlic, onion, and ginger in the pork fat. Once the onion softens, pour the coconut milk. Cover and simmer for 40 to 50 minutes. Add shrimp paste and water. Let boil.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,3 lbs. kalabasa cubed (no FDC match for squash) | 18 pieces string beans cut into 2-inch pieces (no FDC match for string beans) | 1 1/2 lbs. pork belly diced (no FDC match for pork belly) | 24 ounces coconut milk (no FDC match for coconut milk) | 2 tablespoon shrimp paste (no FDC match for shrimp paste) | 1 onion chopped (no FDC match for onion) | 3 thumbs ginger julienned (no FDC match for ginger) | 8 cloves garlic (no FDC match for garlic) | 8 grams Maggi Magic Sarap (no FDC match for maggi seasoning mix) | 1 cup water (ignored seasoning/water),
P0,ph_2,Sinigang Sa Miso,Lunch,4,70,30 minutes,40 minutes,1 hour 10 minutes,bangus milkfish | kangkong | sitaw | okra | long green pepper | tomato | miso,13,2 lbs. bangus milkfish cleaned and sliced | 25 g Maggi Magic Sinigang sa Sampaloc | 1 bunch fresh kangkong leaves | 12 string beans cut into 2 inch pieces | 10 okra | 4 pieces long green pepper | 2 tomatoes wedged | 2 tablespoons miso | 1 yellow onion wedged | Fish sauce and ground black pepper to taste | 2 teaspoons salt | 2 quarts water | 3 tablespoons cooking oil,"Rub salt all over the fish. Let it stay for 10 minutes. Heat oil in a pot. Fry each side of the fish for 1 1/2 minutes. Remove the fish from the pot and set it aside. Using the remaining oil, add onion and half of the tomato, and miso. Saute for 2 minutes.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,2 lbs. bangus milkfish cleaned and sliced (no FDC match for milkfish and) | 25 g Maggi Magic Sinigang sa Sampaloc (no FDC match for maggi magic sinigang sa sampaloc) | 1 bunch fresh kangkong leaves (no FDC match for kangkong leaves) | 12 string beans cut into 2 inch pieces (no FDC match for string beans) | 10 okra (no FDC match for okra) | 4 pieces long green pepper (no FDC match for pepper) | 2 tomatoes wedged (no FDC match for tomatoes) | 2 tablespoons miso (no FDC match for soybean paste) | 1 yellow onion wedged (no FDC match for onion) | Fish sauce and ground black pepper to taste (ignored seasoning/water) | 2 teaspoons salt (no FDC match for salt) | 2 quarts water (ignored seasoning/water) | 3 tablespoons cooking oil (no FDC match for cooking oil),
P0,ph_3,Pork Ribs Caldereta,Dinner,5,93,15 minutes,1 hour 18 minutes,1 hour 33 minutes,pork rib | tomato sauce | potato | carrot | bell pepper | green pea | liver spread | thai chili pepper | beef broth,14,2 lbs. pork ribs | 8 ounces tomato sauce | 3 tablespoons soy sauce | 1 piece potato diced | 1 piece carrot sliced | 2 pieces bell pepper sliced | 3/4 cup green peas frozen | 5 tablespoons liver spread | 1 piece onion chopped | 4 cloves garlic crushed | 2 pieces Thai chili pepper chopped | 2 cups beef broth | 3 tablespoons cooking oil | Salt and ground black pepper to taste,"Marinate pork ribs in soy sauce for 5 minutes. Heat oil in a wok. Saut onion and garlic. Once the onion softens, add pork spareribs. Saute until the ribs turns light brown in color.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,2 lbs. pork ribs (no FDC match for pork ribs) | 8 ounces tomato sauce (no FDC match for tomato sauce) | 3 tablespoons soy sauce (no FDC match for soy sauce) | 1 piece potato diced (no FDC match for potato) | 1 piece carrot sliced (no FDC match for carrot) | 2 pieces bell pepper sliced (no FDC match for bell pepper) | 3/4 cup green peas frozen (no FDC match for peas) | 5 tablespoons liver spread (no FDC match for liver spread) | 1 piece onion chopped (no FDC match for onion) | 4 cloves garlic crushed (no FDC match for garlic) | 2 pieces Thai chili pepper chopped (no FDC match for thai chili pepper) | 2 cups beef broth (unsupported unit cups) | 3 tablespoons cooking oil (no FDC match for cooking oil) | Salt and ground black pepper to taste (ignored seasoning/water),
P0,ph_4,How to Fry Pork Belly (Lechon Kawali),Dinner,4,260,2 hours,20 minutes,4 hours 20 minutes,pork belly | whole peppercorn | dried bay leave,6,3 lbs. pork belly | 8 grams Maggi Magic Sarap | 6 cups water | 1 tablespoon whole peppercorn | 5 dried bay leaves | 4 cups cooking oil,"Combine pork belly, water, whole peppercorn and dried bay leaves in a wide cooking pot. Cover and let boil. Adjust the heat to a simmer. Continue cooking for 1 1/2 to 2 hours. Remove the pork from the cooking pot. Place it on a plate and let it cool down.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,3 lbs. pork belly (no FDC match for pork belly) | 8 grams Maggi Magic Sarap (no FDC match for maggi seasoning mix) | 6 cups water (ignored seasoning/water) | 1 tablespoon whole peppercorn (no FDC match for peppercorn) | 5 dried bay leaves (no FDC match for dried bay leaves) | 4 cups cooking oil (unsupported unit cups),
P0,ph_5,Paksiw Na Baboy,Breakfast,4,85,15 minutes,1 hour 10 minutes,1 hour 25 minutes,pork belly | brown sugar | banana blossom | dried bay leave | whole peppercorn,10,2 lbs. pork belly sliced into cubes | 1 head garlic crushed | 4 tablespoons soy sauce | 1 cup water | 6 tablespoons white vinegar | 1/4 cup brown sugar | 100 grams banana blossoms | 3 pieces dried bay leaves | 1 tablespoon whole peppercorn | 4 grams Maggi Magic Sarap,"Sear the pork until it browns, and enough oil gets extracted. Add the garlic. Saut for 1 minute. Pour soy sauce and water. Let it boil.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,2 lbs. pork belly sliced into cubes (no FDC match for pork belly into cubes) | 1 head garlic crushed (no FDC match for garlic) | 4 tablespoons soy sauce (no FDC match for soy sauce) | 1 cup water (ignored seasoning/water) | 6 tablespoons white vinegar (no FDC match for vinegar) | 1/4 cup brown sugar (no FDC match for brown sugar) | 100 grams banana blossoms (no FDC match for banana blossoms) | 3 pieces dried bay leaves (no FDC match for dried bay leaves) | 1 tablespoon whole peppercorn (no FDC match for peppercorn) | 4 grams Maggi Magic Sarap (no FDC match for maggi seasoning mix),
P0,ph_6,Filipino Chicken Adobo Recipe,Breakfast,4,40,5 minutes,35 minutes,40 minutes,chicken | dried bay | whole peppercorn,10,2 lbs chicken | 3 pieces dried bay leaves | 4 tablespoons soy sauce | 6 tablespoons white vinegar | 5 cloves garlic | 1 1/2 cups water | 3 tablespoons cooking oil | 1 teaspoon sugar | 1/4 teaspoon salt | 1 teaspoon whole peppercorn,"Combine chicken, soy sauce, and garlic in a large bowl. Mix well. Marinate the chicken for at least 1 hour. Note: the longer the time, the better Heat a cooking pot. Pour cooking oil. When the oil is hot enough, pan-fry the marinated chicken for 2 minutes per side.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,2 lbs chicken (no FDC match for chicken) | 3 pieces dried bay leaves (no FDC match for dried bay leaves) | 4 tablespoons soy sauce (no FDC match for soy sauce) | 6 tablespoons white vinegar (no FDC match for vinegar) | 5 cloves garlic (no FDC match for garlic) | 1 1/2 cups water (unsupported unit cups) | 3 tablespoons cooking oil (no FDC match for cooking oil) | 1 teaspoon sugar (no FDC match for sugar) | 1/4 teaspoon salt (no FDC match for salt) | 1 teaspoon whole peppercorn (no FDC match for peppercorn),
P0,ph_7,Laing Fried Rice Recipe,Breakfast,5,20,5 minutes,15 minutes,20 minutes,white rice | cooked | anchovies tustadong dili | chili pepper,7,5 cups white rice preferably leftovers | 1 cup laing cooked | 6 cloves garlic crushed | 4 tablespoons cooking oil | 1/2 cup toasted anchovies tustadong dilis | 1/4 teaspoon salt | 3 chili peppers optional,Combine salt and rice in a bowl. Gently mix until well blended. Heat the oil in a wide pan. Add the garlic once the oil gets hot. Cook until light brown.,,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,5 cups white rice preferably leftovers (unsupported unit cups) | 1 cup laing cooked (no FDC match for laing) | 6 cloves garlic crushed (no FDC match for garlic) | 4 tablespoons cooking oil (no FDC match for cooking oil) | 1/2 cup toasted anchovies tustadong dilis (no FDC match for anchovies tustadong dilis) | 1/4 teaspoon salt (no FDC match for salt) | 3 chili peppers optional (no FDC match for chili peppers),
P0,ph_8,Ginataang Mais at Malagkit (Sweet Corn and Glutinous Rice Porridge),Dinner,4,30,10 minutes,20 minutes,30 minutes,coconut cream | coconut milk | glutinous rice malagkit | sweet corn | vanilla extract | a pinch salt,7,2 cups coconut cream | 2 cups coconut milk | 1/2 cup glutinous rice malagkit | 1 cup sweet corn chopped | 1/2 to 3/4 cup granulated white sugar | 1 teaspoon vanilla extract | a pinch of salt,"Pour coconut milk and coconut cream in a cooking pot. Let it boil. Once it starts to boil, add glutinous rice. Stir continously for 10 minutes. Add sugar. Stir.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,2 cups coconut cream (unsupported unit cups) | 2 cups coconut milk (unsupported unit cups) | 1/2 cup glutinous rice malagkit (no FDC match for glutinous rice malagkit) | 1 cup sweet corn chopped (no FDC match for sweet corn) | 1/2 to 3/4 cup granulated white sugar (no FDC match for granulated sugar) | 1 teaspoon vanilla extract (no FDC match for vanilla extract) | a pinch of salt (no FDC match for pinch of salt),
P0,ph_9,Tastylicious Adobong Pusit Recipe,Lunch,5,35,10 minutes,25 minutes,35 minutes,squid | tomato | squid ink tinta,11,"3 lbs. small to medium sized squid cleaned and sliced | 2 medium ripe tomato diced | 1 medium red onion sliced into small pieces | 1 head garlic crushed | 1/2 cup soy sauce | 4 tablespoons white vinegar | 1 teaspoon granulated white sugar | 1 teaspoon squid ink tinta de calamar or cuttlefish ink, mixed with 3 tablespoons water (optional ingredient) | 3/4 cup water | 3 tablespoons cooking oil | Salt and ground black pepper to taste","Heat oil in a pot. Once the oil becomes hot, saute garlic until it turns light brown. Add onion and tomato. Saute until the onion gets soft",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,"3 lbs. small to medium sized squid cleaned and sliced (no FDC match for to sized squid and) | 2 medium ripe tomato diced (no FDC match for tomato) | 1 medium red onion sliced into small pieces (no FDC match for onion into) | 1 head garlic crushed (no FDC match for garlic) | 1/2 cup soy sauce (no FDC match for soy sauce) | 4 tablespoons white vinegar (no FDC match for vinegar) | 1 teaspoon granulated white sugar (no FDC match for granulated sugar) | 1 teaspoon squid ink tinta de calamar or cuttlefish ink, mixed with 3 tablespoons water (optional ingredient) (no FDC match for squid ink tinta de calamar or cuttlefish ink mixed with water) | 3/4 cup water (no FDC match for water) | 3 tablespoons cooking oil (no FDC match for cooking oil) | Salt and ground black pepper to taste (ignored seasoning/water)",
P0,ph_10,Pork Adobo Recipe,Lunch,4,70,10 minutes,1 hour,1 hour 10 minutes,pork belly | dried bay | peppercorn,8,2 lbs pork belly | 2 tablespoons garlic | 5 dried bay leaves | 4 tablespoons vinegar | 1/2 cup soy sauce | 1 tablespoon peppercorn | 2 cups water | Salt to taste,"Combine the pork belly, soy sauce, and garlic then marinade for at least 1 hour Heat the pot and put-in the marinated pork belly then cook for a few minutes Pour remaining marinade including garlic.",,,,,,,,,,,,,,,,Needs manual nutrition review; automated FDC draft did not produce enough matched nutrition signal.,needs_manual_nutrition_review,0,2 lbs pork belly (no FDC match for pork belly) | 2 tablespoons garlic (no FDC match for garlic) | 5 dried bay leaves (no FDC match for dried bay leaves) | 4 tablespoons vinegar (no FDC match for vinegar) | 1/2 cup soy sauce (no FDC match for soy sauce) | 1 tablespoon peppercorn (no FDC match for peppercorn) | 2 cups water (ignored seasoning/water) | Salt to taste (ignored seasoning/water),
